DATE,DYCO
2008-09-01,0.00285036
2008-09-02,-0.01152494
2008-09-03,-0.02043655
2008-09-04,-0.02803732
2008-09-05,-0.00012312
2008-09-08,-0.00765644
2008-09-09,-0.03147823
2008-09-10,0.01718603
2008-09-11,0.01983346
2008-09-12,0.00833149
2008-09-15,-0.06132721
2008-09-16,-0.00127463
2008-09-17,-0.06211718
2008-09-18,0.02576254
2008-09-19,0.07303249
2008-09-22,-0.01917906
2008-09-23,-0.03097778
2008-09-24,-0.01131103
2008-09-25,0.02755794
2008-09-26,-0.01564065
2008-09-29,-0.07131593
2008-09-30,0.04788931
2008-10-01,0.01395615
2008-10-02,-0.05129021
2008-10-03,-0.03789891
2008-10-06,-0.05850177
2008-10-07,-0.03479537
2008-10-08,-0.05958148
2008-10-09,-0.03012344
2008-10-10,-0.05072912
2008-10-13,0.12228591
2008-10-14,0.0303778
2008-10-15,-0.07439813
2008-10-16,-0.01249034
2008-10-17,0.01984344
2008-10-20,0.05679533
2008-10-21,0.00076824
2008-10-22,-0.08047582
2008-10-23,-0.03874836
2008-10-24,-0.07693841
2008-10-27,-0.05236589
2008-10-28,0.07618605
2008-10-29,0.02982873
2008-10-30,0.07022175
2008-10-31,0.012531
2008-11-03,0.0345159
2008-11-04,0.05375363
2008-11-05,-0.0304808
2008-11-06,-0.01356079
2008-11-07,0.0206135
2008-11-10,-0.00307505
2008-11-11,0.00387919
2008-11-12,-0.04521837
2008-11-13,0.0364152
2008-11-14,-0.0049556
2008-11-17,-0.00583666
2008-11-18,-0.02087238
2008-11-19,-0.00532567
2008-11-20,-7.931e-05
2008-11-21,-0.03597193
2008-11-24,0.04462077
2008-11-25,0.00290398
2008-11-26,0.03341128
2008-11-27,-0.00252438
2008-11-28,0.00611579
2008-12-01,-0.03845577
2008-12-02,0.00965056
2008-12-03,0.00046203
2008-12-04,-0.00012529
2008-12-05,0.01997536
2008-12-08,0.02368579
2008-12-09,-0.00818231
2008-12-10,-0.00085208
2008-12-11,-0.00282304
2008-12-12,-0.0032548
2008-12-15,-0.02253716
2008-12-16,0.0207978
2008-12-17,-0.00523129
2008-12-18,0.00191774
2008-12-19,-0.00241025
2008-12-22,-0.00517254
2008-12-23,-0.01211594
2008-12-24,2.531e-05
2008-12-26,-0.00293756
2008-12-29,-0.00602229
2008-12-30,0.01664624
2008-12-31,0.00128043
2009-01-02,0.0402851
2009-01-05,0.00841286
2009-01-06,0.00475212
2009-01-07,-0.0228071
2009-01-08,0.01019591
2009-01-09,0.00187604
2009-01-12,-0.02210445
2009-01-13,-0.00581935
2009-01-14,-0.02599297
2009-01-15,0.00931505
2009-01-16,0.00746847
2009-01-19,-0.00041855
2009-01-20,-0.01769643
2009-01-21,0.01843017
2009-01-22,-0.00552661
2009-01-23,0.00244202
2009-01-26,0.00084021
2009-01-27,-0.00456955
2009-01-28,0.02168662
2009-01-29,-0.00918815
2009-01-30,-0.00468373
2009-02-02,-0.00409587
2009-02-03,0.00142516
2009-02-04,0.00944087
2009-02-05,0.00641646
2009-02-06,0.0234905
2009-02-09,-0.00566093
2009-02-10,-0.01292711
2009-02-11,0.0062846
2009-02-12,-0.0042577
2009-02-13,0.01616205
2009-02-16,0.00542072
2009-02-17,-0.01848858
2009-02-18,0.00279365
